Birth Order	President	Date of birth	State of birth	In office	Date Started Office	Date Ended Office
1	George Washington	"February 22, 1732"	Virginia	"April 30, 1789 - March 4, 1797"	"April 30, 1789 "	"March 4, 1797"
2	John Adams	"October 30, 1735"	Massachusetts	"March 4, 1797 - March 4, 1801"	"March 4, 1797 "	"March 4, 1801"
3	Thomas Jefferson	"April 13, 1743"	Virginia	"March 4, 1801 - March 4, 1809"	"March 4, 1801 "	"March 4, 1809"
4	James Madison	"March 16, 1751"	Virginia	"March 4, 1809 - March 4, 1817"	"March 4, 1809 "	"March 4, 1817"
5	James Monroe	"April 28, 1758"	Virginia	"March 4, 1817 - March 4, 1825"	"March 4, 1817 "	"March 4, 1825"
6	Andrew Jackson	"March 15, 1767"	South/North Carolina	"March 4, 1829 - March 4, 1837"	"March 4, 1829 "	"March 4, 1837"
7	John Quincy Adams	"July 11, 1767"	Massachusetts	"March 4, 1825 - March 4, 1829"	"March 4, 1825 "	"March 4, 1829"
8	William Henry Harrison	"February 9, 1773"	Virginia	"March 4, 1841 - April 4, 1841"	"March 4, 1841 "	"April 4, 1841"
9	Martin Van Buren	"December 5, 1782"	New York	"March 4, 1837 - March 4, 1841"	"March 4, 1837 "	"March 4, 1841"
10	Zachary Taylor	"November 24, 1784"	Virginia	"March 4, 1849 - July 9, 1850"	"March 4, 1849 "	" July 9, 1850"
11	John Tyler	"March 29, 1790"	Virginia	"April 4, 1841 - March 4, 1845"	"April 4, 1841 "	"March 4, 1845"
12	James Buchanan	"April 23, 1791"	Pennsylvania	"March 4, 1857 - March 4, 1861"	"March 4, 1857 "	"March 4, 1861"
13	James K. Polk	"November 2, 1795"	North Carolina	"March 4, 1845 - March 4, 1849"	"March 4, 1845 "	"March 4, 1849"
14	Millard Fillmore	"January 7, 1800"	New York	"July 9, 1850 - March 4, 1853"	"July 9, 1850 "	"March 4, 1853"
15	Franklin Pierce	"November 23, 1804"	New Hampshire	"March 4, 1853 - March 4, 1857"	"March 4, 1853 "	"March 4, 1857"
16	Andrew Johnson	"December 29, 1808"	North Carolina	"April 15, 1865 - March 4, 1869"	"April 15, 1865 "	"March 4, 1869"
17	Abraham Lincoln	"February 12, 1809"	Kentucky	"March 4, 1861 - April 15, 1865"	"March 4, 1861 "	"April 15, 1865"
18	Ulysses S. Grant	"April 27, 1822"	Ohio	"March 4, 1869 - March 4, 1877"	"March 4, 1869 "	"March 4, 1877"
19	Rutherford B. Hayes	"October 4, 1822"	Ohio	"March 4, 1877 - March 4, 1881"	"March 4, 1877 "	"March 4, 1881"
20	Chester A. Arthur	"October 5, 1829"	Vermont	"September 19, 1881 - March 4, 1885"	"September 19, 1881 "	"March 4, 1885"
21	James A. Garfield	"November 19, 1831"	Ohio	"March 4, 1881 - September 19, 1881"	"March 4, 1881 "	"September 19, 1881"
